Date,open,high,close,low,Volume
2013-04-29,134.44,147.49,144.54,134.00,0.00
2013-04-30,144.00,146.93,139.00,134.05,0.00
2013-05-01,139.00,139.89,116.99,107.72,0.00
2013-05-02,116.38,125.60,105.21,92.28,0.00
2013-05-03,106.25,108.13,97.75,79.10,0.00
2013-05-04,98.10,115.00,112.50,92.50,0.00
2013-05-05,112.90,118.80,115.91,107.14,0.00
2013-05-06,115.98,124.66,112.30,106.64,0.00
2013-05-07,112.25,113.44,111.50,97.70,0.00
2013-05-08,109.60,115.78,113.57,109.60,0.00
2013-05-09,113.20,113.46,112.67,109.26,0.00
2013-05-10,112.80,122.00,117.20,111.55,0.00
2013-05-11,117.70,118.68,115.24,113.01,0.00
2013-05-12,115.64,117.45,115.00,113.43,0.00
2013-05-13,114.82,118.70,117.98,114.50,0.00
2013-05-14,117.98,119.80,111.50,110.25,0.00
2013-05-15,111.40,115.81,114.22,103.50,0.00
2013-05-16,114.22,118.76,118.76,112.20,0.00
2013-05-17,118.21,125.30,123.01,116.57,0.00
2013-05-18,123.50,125.25,123.50,122.30,0.00
2013-05-19,123.21,124.50,121.99,119.57,0.00
2013-05-20,122.50,123.62,122.00,120.12,0.00
2013-05-21,122.02,123.00,122.88,121.21,0.00
2013-05-22,122.89,124.00,123.89,122.00,0.00
2013-05-23,123.80,126.93,126.70,123.10,0.00
2013-05-24,126.30,133.85,133.20,125.72,0.00
2013-05-25,133.10,133.22,131.98,128.90,0.00
2013-05-26,131.99,136.00,133.48,130.62,0.00
2013-05-27,133.50,135.46,129.74,124.70,0.00
2013-05-28,129.77,130.58,129.00,125.60,0.00
2013-05-29,129.00,132.59,132.30,127.66,0.00
2013-05-30,132.25,132.25,128.80,127.00,0.00
2013-05-31,128.80,129.90,129.00,126.40,0.00
2013-06-01,128.82,129.78,129.30,127.20,0.00
2013-06-02,129.30,129.40,122.29,115.05,0.00
2013-06-03,122.50,122.50,122.22,116.00,0.00
2013-06-04,120.74,123.84,121.42,119.10,0.00
2013-06-05,121.40,123.47,121.65,119.90,0.00
2013-06-06,121.90,123.10,118.00,117.25,0.00
2013-06-07,118.97,119.00,111.50,106.42,0.00
2013-06-08,111.00,111.42,108.30,107.30,0.00
2013-06-09,107.89,108.99,100.00,88.50,0.00
2013-06-10,100.44,110.10,106.35,95.00,0.00
2013-06-11,106.35,109.60,108.90,104.00,0.00
2013-06-12,109.00,111.79,108.15,106.73,0.00
2013-06-13,108.78,110.30,104.00,100.53,0.00
2013-06-14,103.95,104.70,99.98,98.00,0.00
2013-06-15,100.00,103.70,99.99,98.00,0.00
2013-06-16,99.80,101.60,99.51,98.95,0.00
2013-06-17,99.90,102.21,101.70,99.00,0.00
2013-06-18,101.95,111.11,107.40,101.03,0.00
2013-06-19,107.05,110.22,108.25,105.75,0.00
2013-06-20,108.25,114.30,110.15,107.50,0.00
2013-06-21,111.29,114.99,109.50,107.68,0.00
2013-06-22,109.50,109.96,108.30,107.51,0.00
2013-06-23,108.20,108.80,107.60,106.23,0.00
2013-06-24,107.90,108.33,102.74,100.98,0.00
2013-06-25,102.09,106.47,103.95,101.01,0.00
2013-06-26,103.33,105.49,104.00,102.79,0.00
2013-06-27,104.00,104.00,101.44,101.10,0.00
2013-06-28,101.74,101.74,94.65,92.33,0.00
2013-06-29,94.66,99.99,94.99,93.00,0.00
2013-06-30,95.00,98.12,96.61,94.22,0.00
2013-07-01,97.51,97.66,88.05,86.30,0.00
2013-07-02,88.05,92.30,90.13,87.51,0.00
2013-07-03,90.40,90.98,77.53,76.98,0.00
2013-07-04,78.89,83.11,80.53,72.00,0.00
2013-07-05,79.99,80.00,68.43,65.53,0.00
2013-07-06,68.50,75.00,70.28,66.82,0.00
2013-07-07,68.75,74.56,74.56,66.62,0.00
2013-07-08,76.50,80.00,76.52,72.60,0.00
2013-07-09,76.00,78.30,76.69,72.52,0.00
2013-07-10,76.72,87.00,86.76,76.20,0.00
2013-07-11,88.00,90.28,88.98,85.08,0.00
2013-07-12,88.98,104.00,93.59,88.17,0.00
2013-07-13,93.99,98.25,98.13,88.06,0.00
2013-07-14,98.70,98.70,94.69,92.86,0.00
2013-07-15,93.61,101.90,98.40,93.11,0.00
2013-07-16,98.89,99.86,97.45,96.14,0.00
2013-07-17,96.71,99.97,98.50,96.18,0.00
2013-07-18,98.50,98.80,90.58,86.20,0.00
2013-07-19,90.07,95.20,92.17,87.80,0.00
2013-07-20,92.00,93.10,89.39,89.27,0.00
2013-07-21,89.82,91.95,90.76,88.00,0.00
2013-07-22,92.00,92.00,91.61,90.08,0.00
2013-07-23,91.60,96.82,95.56,91.60,0.00
2013-07-24,95.56,95.99,94.51,93.00,0.00
2013-07-25,94.50,97.33,96.90,93.87,0.00
2013-07-26,96.95,97.47,96.02,96.00,0.00
2013-07-27,96.02,97.00,94.12,93.00,0.00
2013-07-28,94.40,100.58,99.76,94.00,0.00
2013-07-29,98.60,102.50,101.20,98.46,0.00
2013-07-30,101.49,107.99,107.99,100.47,0.00
2013-07-31,107.95,111.34,106.09,103.88,0.00
2013-08-01,106.21,108.00,104.00,103.01,0.00
2013-08-02,104.86,108.00,104.50,101.21,0.00
2013-08-03,104.50,105.78,104.00,102.00,0.00
2013-08-04,104.95,105.95,105.14,103.52,0.00
2013-08-05,105.12,107.77,106.22,105.00,0.00
2013-08-06,106.72,107.38,106.75,105.56,0.00
2013-08-07,106.75,106.75,106.75,106.75,0.00
2013-08-08,106.75,106.75,103.00,101.26,0.00
2013-08-09,103.07,105.75,102.80,101.93,0.00
2013-08-10,102.80,103.90,103.00,102.41,0.00
2013-08-11,103.00,105.19,105.00,102.75,0.00
2013-08-12,105.00,108.00,106.64,103.50,0.00
2013-08-13,106.99,109.35,109.00,104.65,0.00
2013-08-14,109.56,115.00,112.56,108.00,0.00
2013-08-15,112.56,113.25,109.99,109.00,0.00
2013-08-16,110.00,112.30,108.99,108.52,0.00
2013-08-17,108.99,113.75,113.50,108.22,0.00
2013-08-18,112.75,114.69,113.50,112.00,0.00
2013-08-19,113.38,123.06,119.00,111.77,0.00
2013-08-20,119.00,123.01,121.21,117.51,0.00
2013-08-21,121.21,124.91,123.30,119.68,0.00
2013-08-22,123.30,123.50,121.15,120.60,0.00
2013-08-23,122.00,122.00,118.50,118.44,0.00
2013-08-24,118.51,121.39,120.04,118.02,0.00
2013-08-25,119.60,122.99,122.11,119.17,0.00
2013-08-26,122.11,122.75,120.06,119.93,0.00
2013-08-27,120.07,127.24,126.50,120.07,0.00
2013-08-28,126.48,127.32,122.62,122.62,0.00
2013-08-29,122.62,123.70,122.39,122.21,0.00
2013-08-30,122.35,135.75,133.49,120.99,0.00
2013-08-31,133.09,140.89,135.35,132.72,0.00
2013-09-01,135.14,145.81,138.34,134.81,0.00
2013-09-02,138.63,146.50,135.85,134.89,0.00
2013-09-03,135.61,138.34,136.77,133.00,0.00
2013-09-04,136.53,144.50,126.74,123.61,0.00
2013-09-05,126.76,131.44,126.43,121.83,0.00
2013-09-06,126.49,127.34,119.15,119.15,0.00
2013-09-07,118.89,125.94,124.15,118.46,0.00
2013-09-08,124.13,124.72,121.66,120.49,0.00
2013-09-09,121.86,129.06,127.11,119.75,0.00
2013-09-10,127.27,129.74,125.91,125.90,0.00
2013-09-11,125.89,137.83,135.25,123.27,0.00
2013-09-12,135.55,136.08,133.13,131.81,0.00
2013-09-13,132.83,137.58,134.98,132.27,0.00
2013-09-14,135.01,135.85,129.22,128.87,0.00
2013-09-15,129.40,131.44,130.37,128.26,0.00
2013-09-16,130.86,132.72,131.72,129.77,0.00
2013-09-17,131.59,132.76,131.66,124.89,0.00
2013-09-18,131.71,133.20,131.47,130.54,0.00
2013-09-19,131.37,131.77,129.65,128.45,0.00
2013-09-20,129.70,135.62,127.04,126.68,0.00
2013-09-21,126.95,128.61,127.43,126.24,0.00
2013-09-22,127.87,133.94,129.12,126.59,0.00
2013-09-23,128.98,132.73,125.95,125.66,0.00
